algoritmo,tamano_matriz,hilos,iteracion,tiempo_us
mmClasicaFork,1000,5,25,235091
mmClasicaFork,1000,5,26,233062
mmClasicaFork,1000,5,27,234022
mmClasicaFork,1000,5,28,233676
mmClasicaFork,1000,5,29,232997
mmClasicaFork,1000,5,30,231089
mmClasicaFork,1000,6,1,196979
mmClasicaFork,1000,6,2,195431
mmClasicaFork,1000,6,3,196179
mmClasicaFork,1000,6,4,198819
mmClasicaFork,1000,6,5,198319
mmClasicaFork,1000,6,6,198009
mmClasicaFork,1000,6,7,199123
mmClasicaFork,1000,6,8,197028
mmClasicaFork,1000,6,9,199101
mmClasicaFork,1000,6,10,201450
mmClasicaFork,1000,6,11,198316
mmClasicaFork,1000,6,12,198718
mmClasicaFork,1000,6,13,198165
mmClasicaFork,1000,6,14,197993
mmClasicaFork,1000,6,15,199872
mmClasicaFork,1000,6,16,198013
mmClasicaFork,1000,6,17,200583
mmClasicaFork,1000,6,18,193696
mmClasicaFork,1000,6,19,196065
mmClasicaFork,1000,6,20,198634
mmClasicaFork,1000,6,21,200147
mmClasicaFork,1000,6,22,198353
mmClasicaFork,1000,6,23,200801
mmClasicaFork,1000,6,24,197011
mmClasicaFork,1000,6,25,197612
mmClasicaFork,1000,6,26,199670
mmClasicaFork,1000,6,27,200379
mmClasicaFork,1000,6,28,193937
mmClasicaFork,1000,6,29,198497
mmClasicaFork,1000,6,30,198220
mmClasicaFork,1000,7,1,174961
mmClasicaFork,1000,7,2,172490
mmClasicaFork,1000,7,3,174123
mmClasicaFork,1000,7,4,172923
mmClasicaFork,1000,7,5,171370
mmClasicaFork,1000,7,6,172965
mmClasicaFork,1000,7,7,173161
mmClasicaFork,1000,7,8,175339
mmClasicaFork,1000,7,9,174586
mmClasicaFork,1000,7,10,175640
mmClasicaFork,1000,7,11,176099
mmClasicaFork,1000,7,12,174057
mmClasicaFork,1000,7,13,172679
mmClasicaFork,1000,7,14,174976
mmClasicaFork,1000,7,15,175612
mmClasicaFork,1000,7,16,175051
mmClasicaFork,1000,7,17,172558
mmClasicaFork,1000,7,18,172330
mmClasicaFork,1000,7,19,173020
mmClasicaFork,1000,7,20,171550
mmClasicaFork,1000,7,21,174382
mmClasicaFork,1000,7,22,175352
mmClasicaFork,1000,7,23,173614
mmClasicaFork,1000,7,24,172747
mmClasicaFork,1000,7,25,173200
mmClasicaFork,1000,7,26,172258
